Cusp_ID,Id,Cycloid_Nu,Confidence,CompassA,DirMean,CirVar,AveX,AveY,AveLen,Lat_dd,Long_dd
101,2,30,3,281.496563,168.503437,0,3965797.267,-1059885.959,23895.08703,-38.875,-34.539
102,1,31,3,92.24574257,357.7542574,0,4419770.258,-1011043.778,20256.22326,-37.084,-17.888
102,1,31,3,257.6919842,192.3080158,0,4391592.076,-1013028.157,22341.67505,-37.157,-18.921
103,1,32,1,20.07152586,69.92847414,0,4532390.379,-927964.4456,11718.40702,-34.037,-13.757
103,1,32,1,254.8989018,195.1010982,0,4520748.689,-936960.2969,13811.98722,-34.367,-14.184
104,1,33,1,99.92624551,350.0737545,0,4629975.963,-958860.7852,8595.352004,-35.17,-10.177
104,1,33,1,225.7638985,224.2361015,0,4617910.939,-962882.4599,11226.34037,-35.317,-10.62
105,2,33,1,80.53767779,9.462322208,0,4879743.129,-744547.8565,10300.16515,-27.309,-1.016
105,2,33,1,205.0168935,244.9831065,0,4870853.111,-750262.868,7007.427549,-27.519,-1.342
106,3,33,2,81.46923439,8.53076561,0,-4833557.389,-653319.3408,8561.403952,-23.963,2.71
106,3,33,2,211.2637317,238.7362683,0,-4841706.572,-657976.0167,6933.51086,-24.134,2.411
107,4,33,2,72.29957221,17.70042779,0,-4829853.215,-657235.1819,10442.71982,-24.107,2.846
107,4,33,2,226.9091524,223.0908476,0,-4841283.238,-663585.1946,8985.261738,-24.34,2.427
108,5,33,1,75.32360686,14.67639314,0,-4711637.145,-563889.9952,9189.862563,-20.683,7.182
108,5,33,1,205.1148349,244.8851651,0,-4721267.998,-570980.8427,7480.567711,-20.943,6.829
109,6,33,1,83.51692631,6.483073693,0,-4579133.547,-466099.7996,9373.291773,-17.096,12.042
109,6,33,1,219.4006607,230.5993393,0,-4588764.4,-471497.3104,7669.829368,-17.294,11.689
110,1,34,1,72.55281158,17.44718842,0,4728835.077,-1125803.501,9707.019054,-41.293,-6.551
110,1,34,1,201.8014095,248.1985905,0,4720236.102,-1134005.601,7124.138524,-41.594,-6.867
111,2,34,1,85.31410016,4.68589984,0,4802653.975,-1067859.635,16193.74285,-39.168,-3.844
111,2,34,1,216.573031,233.426969,0,4787308.111,-1074474.232,10213.07418,-39.411,-4.407
112,3,34,1,51.95295747,38.04704253,0,-4862624.572,-890191.5714,15454.95922,-32.651,1.644
112,3,34,1,174.9203921,275.0796079,0,-4870297.504,-904875.9758,11953.2184,-33.19,1.363
113,4,34,1,86.72951208,3.270487923,0,-4733639.939,-784887.1942,9275.541943,-28.789,6.375
113,4,34,1,197.3540246,252.6459754,0,-4742768.083,-790972.623,8870.467474,-29.012,6.04
114,5,34,1,111.8014095,338.1985905,0,-4676357.533,-769805.914,8548.966229,-28.236,8.476
114,5,34,1,230.7105931,219.2894069,0,-4686411.72,-771128.8333,7520.886464,-28.284,8.107
115,6,34,1,52.22431569,37.77568431,0,-4516019.713,-602721.2048,13389.6166,-22.107,14.357
115,6,34,1,181.4688007,268.5311993,0,-4522502.017,-615156.6464,10322.16218,-22.563,14.119
116,1,35,2,105.2551187,344.7448813,0,-4572748.257,-695413.3104,9653.504573,-25.507,12.277
